"peak_rank","points","year","artist_name","song_title","initial_match","falsetto","gender","register","genre","spoken","pandora_id","preview_url"
36,138,1958,"Gerry Granahan","No Chemise, Please","True",0,"male",6,"Pop",2,70695,NULL
46,55,1958,"Gino & Gina","It's Been A Long Time Pretty Baby","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,57,1958,"Gogi Grant","Strange Are The Ways Of Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,670,1958,"Gordon MacRae","The Secret","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,770,1958,"The Moonglows","Ten Commandments Of Love, The","True",0,"male",4,"Pop",0,298640,NULL
56,177,1958,"Huey 'piano' Smith & His Clowns","Don't You Know Yockomo","True",0,"male",7,"R&B",2,1017105,NULL
68,85,1958,"Ivan","Real Wild Child","True",2,"male",7,"Pop",0,10708511,"https://p.scdn.co/mp3-preview/e7856b6ed140260edb3eabbdc9ed723fb7da0f9d?cid=774b29d4f13844c495f206cafdad9c86"
94,7,1958,"Ivory Joe Hunter","Yes I Want You","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,5,1958,"Jack Scott","Géraldine","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1138,1958,"Jack Scott","Goodbye Baby","True",0,"duet",6,"Country",2,1795613,NULL
56,123,1958,"Jack Scott","Leroy","True",0,"male",5,"Pop",0,1795614,NULL
3,1060,1958,"Jack Scott","My True Love","True",0,"male",4,"Pop",4,1795612,NULL
73,54,1958,"Jack Scott","Save My Soul","True",0,"male",5,"Country",2,8122706,NULL
28,472,1958,"Jack Scott","With Your Love","True",0,"male",3,"Country",0,1795615,NULL
7,1519,1958,"Jackie Wilson","Lonely Teardrops","True",2,"male",9,"Pop",0,8545306,"https://p.scdn.co/mp3-preview/542f104f37b855b572e37995d467cc73b7cdf1b5?cid=635a94c846854eb29813825c79d704a2"
86,15,1958,"Jackie Wilson","To Be Loved","True",2,"male",9,"Pop",0,8545263,"https://p.scdn.co/mp3-preview/1b97c31aedf347d02a87105f07529ece740e9f27?cid=774b29d4f13844c495f206cafdad9c86"
93,13,1958,"Jackie Wilson","We Have Love","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,514,1958,"James Brown","Try Me","True",2,"male",8,"Pop",0,68016,"https://p.scdn.co/mp3-preview/f85c41f2c110453b6bd36c4c49659d88ea57f417?cid=774b29d4f13844c495f206cafdad9c86"
81,36,1958,"Jan & Arnie","Gas Money","False",0,"male",7,"Pop",0,70707,NULL
44,81,1958,"Jan & Arnie","Jennie Lee","True",0,"male",7,"Pop",0,70707,NULL
21,957,1958,"Jane Morgan","Day The Rains Came, The","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,46,1958,"Janice Harper","Devotion","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,340,1958,"The Impressions","For Your Precious Love (Feat. Jerry Butler)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,137,1958,"Jerry Lee Lewis","Break Up","True",0,"male",8,"Pop",0,6450367,NULL
63,73,1958,"Jerry Lee Lewis","High School Confidential","True",2,"male",7,"Rock",2,72220,"https://p.scdn.co/mp3-preview/c30d92ed3848ef260a71cef5645d8554d43c3141?cid=774b29d4f13844c495f206cafdad9c86"
85,16,1958,"Jerry Lee Lewis","I'll Make it All up to You","True",0,"male",5,"Rock",0,12149344,NULL
60,133,1958,"Jerry Vale","Go Chase A Moonbeam","True",0,"male",5,"Jazz",0,462146,NULL
78,65,1958,"Jerry Wallace","Diamond Ring","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,965,1958,"Jerry Wallace","How The Time Flies","True",0,"male",5,"Country",0,8157001,NULL
81,39,1958,"Jesse Belvin","Funny","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,6,1958,"Jill Corey","Big Daddy","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,57,1958,"Jim Backus","Delicious (The Laughing Song)","True",0,"duet",4,"Pop",6,1630391,NULL
95,6,1958,"Jim Reeves","Billy Bayou","True",0,"male",4,"Pop",0,48239,NULL
45,165,1958,"Jim Reeves","Blue Boy","True",0,"male",3,"Country",2,505855,NULL
10,861,1958,"Jimmie Rodgers","Are You Really Mine","True",0,"male",6,"Pop",0,6957344,NULL
11,1096,1958,"Jimmie Rodgers","Bimbombey","True",0,"male",6,"Pop",0,6957365,NULL
28,157,1958,"Jimmie Rodgers","Secretly","True",2,"male",7,"Pop",0,6957367,"https://p.scdn.co/mp3-preview/5ecb1d79a49143a832df94a3aaecd4993264e7ac?cid=774b29d4f13844c495f206cafdad9c86"
45,308,1958,"Jimmie Rodgers","Wizard, The","True",0,"male",5,"Pop",0,6957347,NULL
50,293,1958,"Jimmy Bowen with the Rhythm Orchids","By The Light Of The Silvery Moon","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1238,1958,"Jimmy Clanton And His Rockets","Just A Dream","False",0,"male",5,"R&B",5,1603216,NULL
25,672,1958,"Jimmy Clanton","A Letter To Angel","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,291,1958,"Jimmy Clanton","A Part Of Me","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,13,1958,"Jimmy Reed","Down in Virginia","True",0,"male",5,"R&B",0,11654193,NULL
95,6,1958,"Jodie Sands","Someday You'll Want Me To Want You","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,277,1958,"Jody Reynolds","Endless Sleep","True",0,"male",4,"Pop",0,5127073,NULL
66,83,1958,"Jody Reynolds","Fire Of Love","False",0,"male",4,"Pop",0,5127073,NULL
89,22,1958,"Joe South","Purple People Eater Meets The Witch Doctor, The","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,29,1958,"Johnnie Ray","Up Until Now","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,14,1958,"Johnny Cash","Come In Stranger","True",0,"male",6,"Country",0,7028124,NULL
21,368,1958,"Johnny Cash","Guess Things Happen That Way","True",0,"male",3,"Pop",0,7028119,NULL
85,16,1958,"Johnny Cash","I Just Thought You'd Like To Know","True",0,"male",4,"Country",0,9032530,NULL
47,275,1958,"Tennessee Two & Johnny Cash","It's Just About Time","True",0,"male",4,"Country",3,9041001,NULL
24,461,1958,"Johnny Cash","Ways Of A Woman In Love, The","True",0,"male",3,"Country",2,9032525,NULL
38,404,1958,"Johnny Cash","All Over Again","True",0,"male",5,"Country",2,142662,NULL
52,253,1958,"Johnny Cash","What Do I Care (Mono Version)","True",0,"male",3,"Country",0,7155782,NULL
22,523,1958,"Johnny Mathis","A Certain Smile","True",2,"male",5,"Pop",0,7266799,"https://p.scdn.co/mp3-preview/2de7f0013b58460bc1cf7f368f523cc948360c59?cid=635a94c846854eb29813825c79d704a2"
21,883,1958,"Johnny Mathis","Call Me","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,44,1958,"Johnny Nash","Almost In Your Arms","False",0,"male",8,"Pop",0,5840375,NULL
87,31,1958,"Johnny Otis","Crazy Country Hop","True",0,"male",6,"Pop",0,672799,NULL
35,665,1958,"Johnny Tillotson","Dreamy Eyes","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,17,1958,"Johnny Tillotson","Well I'm Your Man","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,880,1958,"Joni James","There Goes My Heart","True",0,"female",7,"Pop",0,11654616,NULL
43,485,1958,"June Valli","The Wedding","False",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,851,1958,"Kalin Twins","Forget Me Not","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,663,1958,"The Kalin Twins","When","True",0,"duet",6,"Pop",0,11969786,NULL
83,32,1958,"Kitty Wells","Jealousy","True",0,"female",5,"Country",0,13540622,NULL
6,1434,1958,"LaVern Baker","I Cried A Tear","True",0,"female",6,"Rock",0,312293,NULL
92,9,1958,"Lee Allen & His Band","Tic Toc","True",0,"#N/A",0,"Rock",0,456810,NULL
70,49,1958,"Lee Andrews & The Hearts","Try the Impossible","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,478,1958,"Les Paul & Mary Ford","Put A Ring On My Finger","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,18,1958,"Little Anthony & The Imperials","So Much","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1383,1958,"Little Anthony & The Imperials","Tears On My Pillow","True",0,"male",8,"Pop",0,5522360,NULL
41,407,1958,"Little Richard","Baby Face (Re-Recorded)","True",3,"male",7,"R&B",0,6341519,"https://p.scdn.co/mp3-preview/1ca817b8df82e027ec7df44b036a12fd7412d456?cid=635a94c846854eb29813825c79d704a2"
66,65,1958,"Little Willie John","You're A Sweetheart","True",0,"male",7,"R&B",0,7550461,NULL
1,1514,1958,"Lloyd Price","Stagger Lee","True",0,"male",7,"Rock",2,9026976,NULL
96,5,1958,"Lord Rockingham's XI","Fried Onions","True",0,"#N/A",0,"Pop",0,10711561,NULL
18,711,1958,"Louis Prima & Keely Smith","That Old Black Magic (Live)","True",NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,25,1958,"Marty Robbins","Just Married (Single Version)","True",0,"male",5,"Country",0,6545747,NULL
